	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
Cobalamin biosynthesis protein CbiG	3	3	2	134	1	178	4	291	11	148	1	64	2	205	445	63	298	182	1	221	391	229	125	1	64	3	81	1
Cobalamin biosynthesis protein CobG	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cobalamin synthase	1	3	2	3	3	193	2	7	3	26	1	41	2	36	365	2	2	6	2	6	7	2	39	2	4	2	83	2
Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)	1	1	1	1	1	29	1	1	1	8	1	3	1	4	1	1	1	1	1	1	2	1	117	1	1	1	1	1
Cobalt-precorrin-3b C17-methyltransferase	1	4	3	132	2	355	2	292	9	226	1	71	2	293	602	88	299	246	5	228	402	226	134	2	50	2	195	2
Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	3	2	2	109	1	275	1	266	81	356	3	149	3	473	624	176	227	284	3	255	616	529	104	1	165	2	113	2
Cobalt-precorrin-6 synthase, anaerobic	1	1	1	2	1	184	1	1	5	11	1	1	1	51	295	1	1	2	1	1	6	1	196	1	5	1	51	1
Cobalt-precorrin-6x reductase (EC 1.3.1.54)	2	3	2	2	4	263	2	178	142	383	4	169	2	541	820	100	28	187	8	64	375	605	179	6	107	2	150	2
Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	1	1	1	1	1	112	1	1	3	119	1	1	2	11	7	46	1	14	1	8	8	11	137	1	2	1	1	1
Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	2	2	1	54	1	214	1	129	3	71	1	43	1	140	344	53	189	103	1	136	185	90	178	1	79	1	109	1
Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	1	4	1	160	1	245	5	406	10	181	1	56	2	242	324	73	390	326	2	339	370	228	42	2	19	1	73	1
Cobalt-zinc-cadmium resistance protein	7	11	6	334	6	497	3	396	14	510	7	149	4	626	1023	217	799	437	49	472	603	469	64	8	179	17	550	10
Cobalt-zinc-cadmium resistance protein CzcA	2	5	2	8	1	133	1	11	15	22	1	11	1	14	63	132	1	286	43	24	34	215	99	1	96	1	8	1
Cobalt-zinc-cadmium resistance protein CzcD	1413	2127	1960	2464	2086	71	1399	1914	750	788	1196	824	944	697	1040	1099	14	1679	125	1548	1777	906	1438	553	579	1038	720	1616
CobN component of cobalt chelatase involved in B12 biosynthesis	1	1	1	1	0	94	0	1	1	2	0	31	0	3	4	0	0	1	0	1	2	1	57	0	1	0	0	0
Cobyric acid synthase	44	3	3	316	6	312	8	401	29	214	1	53	2	204	355	133	685	264	4	278	417	234	101	3	106	3	153	1
Cobyrinic acid A,C-diamide synthase	1	1	1	143	2	252	1	426	1	220	1	60	2	218	343	89	407	228	1	321	356	194	59	2	45	1	75	1
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coenzyme F420 hydrogenase maturation protease (EC 3.4.24.-)	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	2	0	1	2	1	2	0	1	1	1	1
Coenzyme F420-1:L-glutamate ligase	0	2	0	0	0	0	0	2	0	14	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0
Coenzyme F420-dependent oxidoreductase	0	0	0	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cof protein, HD superfamily hydrolase	436	630	55	20	225	876	86	22	312	1615	127	82	140	549	120	218	2	189	159	57	168	24	71	299	3	150	432	167
COG0488: ATPase components of ABC transporters with duplicated ATPase domains	4648	2115	16014	20274	14967	2337	46027	18654	5066	14985	2156	6168	1001	11144	11033	11553	1032	19998	484	24809	18163	10127	17818	2487	5055	1240	4363	856
COG0523: Putative GTPases (G3E family)	0	0	1	0	1	5	0	0	0	0	0	2	4	4	0	0	0	2	0	2	0	1	0	0	2	0	0	0
COG0536: GTP-binding protein Obg	5561	8725	5610	9634	7355	3221	3851	5993	4131	7699	3525	1960	2968	4854	3719	3937	1339	5580	290	6535	5721	2256	6397	2287	2193	1734	2882	2650
COG0613, Predicted metal-dependent phosphoesterases (PHP family)	45	5	7	635	6	138	3	1086	415	392	2	217	5	187	238	209	644	638	4	607	1012	614	52	4	198	2	28	2
COG0779: clustered with transcription termination protein NusA	3619	4856	2541	4951	4242	5642	2025	4604	3370	6207	4874	13748	2520	4017	4532	5074	2666	6717	551	5654	13697	7650	2451	2659	2476	1455	1790	1756
COG1306 predicted glycoside hydrolase	10	1	3	2	1	14	1	1	19	14	0	2	1	1	2	1	2	1	1	1	7	2	3	0	1	1	1	1
COG1649 predicted glycoside hydrolase	4	6	4	45	2	1182	5	75	24	1336	4	1133	7	562	291	385	3	665	62	83	1267	554	16	2	188	3	327	2
COG1720: Uncharacterized conserved protein	0	0	0	2	0	13	0	0	0	35	0	26	0	23	25	26	0	61	0	0	51	44	0	0	2	0	2	0
COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster	0	0	2	0	0	4	0	3	0	9	0	5	0	0	2	0	8	0	0	3	2	0	0	0	0	0	0	0
COG2152 predicted glycoside hydrolase	4	6	2	36	2	240	6	74	12	44	1	2222	2	65	460	569	2	937	69	233	2557	901	16	3	61	1	110	1
COG2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination	4917	10491	3061	5477	5183	1488	2643	3078	3752	3575	7618	1595	3852	2277	3156	2130	960	1899	141	3284	1964	574	3552	3296	1142	4114	2132	5486
COG3178: Predicted phosphotransferase related to Ser/Thr protein kinases	2	5	3	53	1	108	3	53	20	181	1	795	2	48	183	222	1	313	77	77	831	321	8	1	252	2	72	0
Colanic acid biosynthesis acetyltransferase WcaB (EC 2.3.1.-)	1	1	1	1	1	1	1	1	1	1	1	101	1	1	1	1	1	1	0	360	1	1	1	1	1	1	1	1
Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Colanic acid biosynthesis glycosyl transferase WcaA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Colanic acid biosynthesis glycosyl transferase WcaC	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Colanic acid biosynthesis glycosyl transferase WcaE	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Colanic acid biosynthesis glycosyl transferase WcaL	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colanic acid biosysnthesis glycosyl transferase WcaI	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colanic acid biosysnthesis protein WcaK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Colanic acid capsular biosynthesis activation accesory protein RcsA, co-regulator with RcsB	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Colanic acid polymerase WcaD	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Cold shock protein CspA	4089	9630	15177	26013	13797	37774	7788	55087	4533	21128	7465	23636	6239	23988	27564	11182	75344	60874	230	71014	84176	20596	10337	5418	6973	4432	29067	5017
Cold shock protein CspB	3	3	6	3	10	3	3	3	17	3	27	3	1353	8	3	3	3	3	3	3	3	3	3	20	3	3	3	3
Cold shock protein CspC	330	19	51	2758	13	3862	9	2323	3007	728	8	1288	17	486	2089	639	99	1091	54	2405	6015	3432	200	37	1479	17	333	30
Cold shock protein CspD	1	1	1	1	1	33	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	8	1
Cold shock protein CspE	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	0	1	1	1	1	4	1	1	1	1
Cold shock protein CspF	1	1	1	1	1	1	1	1	1	1	1	1	156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cold shock protein CspG	3	4	4	4	4	19	4	8	18	21	3	61	20	28	4	4	4	4	34	4	4	4	7	4	38	27	42	31
Cold-shock DEAD-box protein A	2169	2775	6503	9015	8012	2799	4157	5659	3394	6802	2912	2650	1187	4418	3545	4385	1506	4407	277	5542	8002	2582	7567	1477	3061	2147	2062	1819
Colicin I receptor precursor	9	14	9	1434	7	3267	7	2137	7	2213	6	1496	7	1602	2970	1312	1681	1168	10	2159	1828	2152	15	6	1581	1	437	1
Collagen alpha 1(I) chain precursor	34	6	14	1449	2	11	3	399	2	135	3	796	3	130	1068	307	2	1330	4	1411	2546	2020	58	1	422	0	2	0
Collagen binding protein Cna	0	0	0	0	0	9	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
Collagen-like surface protein	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ComF operon protein A, DNA transporter ATPase	67	151	308	178	303	3	146	101	27	93	46	12	59	73	46	54	2	46	1	118	38	15	159	79	13	20	33	36
ComF operon protein C	376	572	169	142	371	2	144	82	189	72	350	1	152	36	41	33	2	25	1	74	20	5	164	848	10	64	43	109
Competence protein CoiA	117	253	1248	633	2721	9	1063	371	76	318	89	3	91	309	233	222	7	293	7	747	175	29	818	655	118	212	202	168
Competence protein F homolog, phosphoribosyltransferase domain	8	4	7	158	5	194	5	198	78	214	3	230	5	153	343	153	202	423	11	239	581	210	16	4	226	4	102	4
Competence-stimulating peptide ABC transporter ATP-binding protein ComA	483	4	1	0	25	9	34	6	786	27	2	11	0	4	3	25	1	3	2	7	30	8	1	3624	0	0	6	56
Competence/damage-inducible protein CinA	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	2	0	2	0	2	2	0	2
Conjugative transfer protein TrbG	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
Conjugative transfer protein TrbP (IncF TraX homolog)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Conjugative transposon protein TraA	6	8	4	77	5	78	6	272	9	440	7	4993	3	21	835	1037	5	1507	125	457	3451	2655	23	4	1024	2	131	2
Conjugative transposon protein TraB	3	6	5	6	3	144	3	6	6	65	3	101	3	66	15	71	3	55	3	18	127	66	3	3	29	4	35	4
Conjugative transposon protein TraC	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Conjugative transposon protein TraD	0	0	0	0	0	4	0	0	0	0	0	0	0	3	1	1	0	0	0	1	2	0	0	0	0	0	0	0
Conjugative transposon protein TraE	4	12	7	7	4	419	4	17	4	109	4	113	4	45	10	66	4	123	8	16	174	29	4	4	18	5	5	5
Conjugative transposon protein TraF	2	7	2	2	2	163	2	7	6	51	2	104	2	67	3	69	2	90	11	7	62	48	12	2	25	3	26	3
Conjugative transposon protein TraG	1	1	1	1	1	54	1	3	1	27	1	46	1	20	4	28	1	25	14	3	90	16	1	1	8	1	4	1
Conjugative transposon protein TraH	0	0	0	0	0	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	16	0	0	0	0	0	0	0
Conjugative transposon protein TraI	2	2	2	2	2	57	2	3	2	25	2	36	2	10	4	42	2	30	1	2	32	12	2	2	13	2	4	3
Conjugative transposon protein TraJ	1	2	1	2	1	64	2	4	1	30	1	41	1	14	3	60	1	18	1	1	56	18	1	1	16	1	13	1
Conjugative transposon protein TraK	1	1	1	1	1	30	1	1	1	28	1	29	1	7	4	14	1	19	1	1	43	8	1	4	25	1	12	1
Conjugative transposon protein TraL	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	6	0	0	0	0	9	0	0	0	0	0	0	0
Conjugative transposon protein TraM	2	3	2	1	1	90	1	3	7	27	1	98	1	26	5	46	1	63	1	4	92	18	1	2	16	1	5	2
Conjugative transposon protein TraN	2	4	3	2	3	51	3	5	4	31	2	124	2	26	6	53	3	56	2	8	72	22	2	2	27	2	5	2
Conjugative transposon protein TraO	2	6	2	2	2	75	2	3	4	37	2	75	2	26	2	63	2	38	3	10	22	20	2	2	39	2	4	2
Conjugative transposon protein TraP	1	1	1	1	1	3	1	1	0	1	0	1	1	3	1	4	0	1	0	1	8	3	1	0	1	1	1	1
Conjugative transposon protein TraQ	3	7	3	7	3	249	3	12	5	68	3	103	3	71	20	92	3	50	6	8	55	62	5	5	23	4	14	4
Conjugative transposon transfer DNA helicase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Conserved ATP-binding protein YghS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conserved hypothetical protein (perhaps related to histidine degradation)	1	3	4	7	6	80	1	6	21	59	1	11	1	13	57	1	1	9	15	1	31	15	4	8	3	1	6	1
Conserved hypothetical TPR repeat protein, clustered with yghQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Conserved protein LiaG in B. subtilis in Lia cluster	0	0	0	1	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	9	10	10	17
Conserved protein YcjX with nucleoside triphosphate hydrolase domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Conserved protein YghR, with nucleoside triphosphate hydrolase domain	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Conserved protein YghT, with nucleoside triphosphate hydrolase domain	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Conserved uncharacterized protein CreA	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
Copper chaperone	1607	843	7	1371	30	1171	94	2439	157	1805	415	486	231	1346	1322	453	1741	1607	50	1975	1593	1159	108	9	179	151	1454	331
Copper ion binding protein	2	3	2	2	2	6	6	206	28	705	2	514	2	131	568	459	2	826	5	76	1096	1562	40	2	281	3	47	3
Copper resistance protein C precursor	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Copper resistance protein D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
Copper sensory histidine kinase CpxA	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0
Copper sensory histidine kinase CusS	0	0	0	0	0	4	0	0	1	8	0	4	0	7	2	0	0	0	0	1	0	3	1	0	0	0	0	0
Copper-sensing two-component system response regulator CpxR	0	1	0	1	0	126	0	2	3	14	1	30	0	15	5	5	2	31	0	2	15	1	2	0	4	1	3	1
Copper-translocating P-type ATPase (EC 3.6.3.4)	2487	7746	3177	12330	3065	3990	1368	7963	2981	7192	3550	3543	4490	3628	4623	3778	4355	7041	289	4777	6572	5599	15868	4407	2449	7750	4571	7303
Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	1	3	2	13	3	11	1	54	8	178	1	248	1	13	86	64	3	155	59	52	494	254	7	1	140	1	39	1
CRISPR-associated helicase Cas3	1172	773	92	8	70	7	179	6	647	5	359	8	301	4	6	2	2	4	1	8	9	3	61	14	1	340	132	607
CRISPR-associated helicase Cas3, protein	10	2	198	1781	614	156	2	805	48	473	2	263	2	8	28	50	1099	1213	4	747	640	379	666	2	172	0	137	1
CRISPR-associated protein Cas1	294	571	1625	9145	3551	384	13	3428	388	621	145	1087	76	186	302	799	875	5264	52	2241	3204	1886	5032	619	795	158	1214	32
CRISPR-associated protein Cas2	19	814	47	10	323	78	8	856	796	331	158	655	118	325	423	508	13	1606	52	1522	4554	1439	70	568	216	178	137	17
CRISPR-associated protein MTH1087	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISPR-associated protein, Cas2	27	17	863	4141	1553	270	9	1747	145	424	13	253	8	15	70	50	1122	3300	15	1269	1933	747	2391	7	870	4	579	4
CRISPR-associated protein, Csn1 family	4	6	4	26	2	63	1	62	172	330	1	887	1	123	222	422	1	1249	10	114	2772	1133	7	2	227	0	24	0
CRISPR-associated protein, CT1133 family	0	1	1	0	0	103	0	0	1	4	0	47	0	1	1	3	0	0	0	1	2	0	0	0	1	0	0	0
CRISPR-associated protein, CT1134 family	1	1	1	1	1	73	1	2	4	11	1	78	1	2	1	5	1	2	1	3	3	1	1	1	1	1	1	1
CRISPR-associated protein, CT1974	38	3	1006	4758	2003	154	7	3614	394	637	4	369	7	13	112	115	845	2636	7	593	521	763	3410	4	557	1	538	1
CRISPR-associated protein, CT1975 family	41	4	895	4345	1309	295	6	3340	474	1230	7	577	31	56	261	118	2055	3692	9	1668	1542	1283	3519	3	1002	3	1510	3
CRISPR-associated protein, CT1976	55	16	1375	5346	2164	383	6	4273	500	1005	1	471	4	24	215	70	1943	3664	8	1233	1108	1076	3754	7	721	2	811	1
CRISPR-associated protein, SAG0894 family	1	1	22	2	477	40	1	5	3	115	1	191	2	251	225	11	1	7	52	5	212	10	28	420	3	27	42	20
CRISPR-associated protein, TM1800 family	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
CRISPR-associated protein, TM1801 family	1	2	1	1	1	133	1	1	13	15	1	79	1	3	3	2	1	2	1	3	2	1	2	1	1	1	1	1
CRISPR-associated RecB family exonuclease Cas4a	0	0	0	0	0	2	0	0	6	0	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0
CRISPR-associated RecB family exonuclease Cas4b	0	1	1	2	1	12	1	1	7	1	0	8	1	2	2	2	2	1	0	1	2	2	3	0	1	1	1	1
Cro-like repressor, superantigen-encoding pathogenicity islands SaPI	0	0	0	0	0	0	10	0	0	0	0	1	0	0	1	4	0	1	0	0	0	1	0	0	1	1	1	1
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	69	25	17	995	14	2786	11	2047	468	2604	12	718	21	1712	2020	999	1928	1700	37	1489	2678	1363	142	51	814	8	491	9
Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
CTP synthase (EC 6.3.4.2)	806	3914	5697	6420	8481	1215	5893	4717	1717	4336	3388	5546	1946	3143	3573	4015	26	7433	333	4378	8168	4555	5351	1501	3790	4057	2987	8266
CTP:molybdopterin cytidylyltransferase	0	2	2	0	0	2	2	2	0	6	0	0	0	0	0	2	4	2	0	0	2	0	0	0	0	0	0	0
Cu(I)-responsive transcriptional regulator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
Curli production assembly/transport component CsgE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Curli production assembly/transport component CsgF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Curli production assembly/transport component CsgG	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanate transport protein CynX	1	0	2	0	1	2	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	3	0	0	1
Cyclic AMP receptor protein	1	2	1	1	2	51	1	10	1	48	1	917	1	353	1	2	2	3	2	1	1	2	1	1	2	2	5	1
Cyclic beta-1,2-glucan modification transmembrane protein	0	5	5	6	1	17	0	4	24	61	3	50	2	54	10	19	0	10	2	5	32	17	3	0	4	3	7	2
Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cyclomaltodextrin glucanotransferase (EC 2.4.1.19)	34	50	46	18	26	43	26	31	44	2481	26	599	28	84	6367	22	11	50	55	2746	14651	14853	126	23	2	0	2	0
CylD	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	0	0	0
CylF	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	2	0
CylX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
Cyn operon transcriptional activator	1	47	14	17	253	101	1	0	0	0	0	0	0	25	216	0	0	2	0	1	0	0	8	0	0	17	61	0
Cys regulon transcriptional activator CysB	0	1	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	3	1	3	1
Cystathionine beta-lyase (EC 4.4.1.8)	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	0
Cystathionine beta-synthase (EC 4.2.1.22)	0	0	0	0	0	0	0	0	3	1	0	1	0	0	1	0	0	0	7	0	0	0	0	0	1	1	1	2
Cystathionine gamma-lyase (EC 4.4.1.1)	0	12	0	8	54	0	0	1	1	0	0	1	3	1	1	1	0	1	3	1	1	1	2	23	1	10	3	1
Cystathionine gamma-synthase (EC 2.5.1.48)	2	3	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	5	5	1	1	1	40	3	1	1	1	1
Cysteine desulfurase (EC 2.8.1.7)	2317	5355	4463	4344	5699	2944	2896	3020	2106	5454	3319	320	2118	3269	2088	2014	407	3440	186	3411	2041	448	5033	2580	1758	2590	3479	3432
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	608	15800	6736	5843	5540	1917	3142	5491	461	6423	3256	2801	5563	5623	5389	2889	2253	3798	222	5835	5943	4474	4195	4189	1779	4213	3293	5665
Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cysteine synthase (EC 2.5.1.47)	44	8	63	466	5	246	3	1009	519	214	4	1443	4	143	417	479	7	787	318	163	1596	831	296	4	507	82	174	79
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	1695	5604	2616	3571	3302	2315	1285	3379	1845	3603	1870	6007	1783	2337	3222	3104	906	5995	400	2940	8257	4400	1845	1272	2585	1416	1293	2472
Cysteinyl-tRNA synthetase related protein	4081	5	2	4	126	4	438	6	1763	7	1	4	4	14	4	3	5	3	55	4	20	1	2	35	12	10	12	9
Cystine ABC transporter, ATP-binding protein	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cystine ABC transporter, periplasmic cystine-binding protein FliY	2	3	2	431	1	269	2	907	6	304	1	109	2	369	1510	123	906	548	30	414	542	337	593	1	235	1	560	1
Cystine ABC transporter, permease protein	1890	1173	12	313	60	73	94	991	2278	218	199	88	171	170	137	270	985	583	36	353	769	274	101	123	194	136	43	477
Cytidine deaminase (EC 3.5.4.5)	11	733	1686	1697	3474	623	1966	1399	131	1917	33	2395	15	1481	1077	1533	384	2576	100	1168	3844	1201	1439	1723	786	199	806	126
Cytidylate kinase (EC 2.7.4.14)	4595	10288	4335	4940	6049	2725	2660	2628	5988	4095	5538	5396	3786	3084	3024	3164	1422	5545	245	3433	4846	2280	3286	2564	1589	5960	1458	7249
Cytochrome c heme lyase subunit CcmF	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c heme lyase subunit CcmH	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c nitrite reductase, small subunit NrfH	0	3	0	3	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c-type biogenesis protein CcdA (DsbD analog)	1	1	1	2	2	11	1	4	1	2	1	2	1	27	1	1	1	4	1	3	15	7	2	1	5	1	1	1
Cytochrome c-type biogenesis protein CcdA homolog, associated with MetSO reductase	0	0	0	3	0	20	0	6	0	32	0	10	0	12	4	1	2	0	0	4	10	20	1	0	0	0	8	0
Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cytochrome c-type biogenesis protein CcmE, heme chaperone	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase	1	3	1	1	1	181	1	88	12	128	1	80	1	25	31	4	1	74	1	29	104	26	1	1	18	1	33	1
Cytochrome c-type biogenesis protein Ccs1/ResB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Cytochrome c-type biogenesis protein CcsA/ResC	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	4	4	5	22	3	143	1	91	24	320	2	815	2	67	358	361	3	759	51	62	1260	494	6	2	639	2	121	1
Cytochrome c-type biogenesis protein ResA	9	27	10	334	8	1544	12	991	142	2164	7	6758	11	1303	2901	1701	11	3346	263	653	7369	3985	59	11	3858	5	745	5
Cytochrome c-type heme lyase subunit nrfE, nitrite reductase complex assembly	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cytochrome c-type heme lyase subunit nrfG, nitrite reductase complex assembly	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
